 	210767
E	201805
N	126302
I	94643
R	84923
S	73584
T	71912
A	69175
H	62719
D	59972
U	47643
L	42463
C	38056
G	37565
M	34614
O	28401
,	24453
B	24407
W	19914
.	18972
F	18190
K	17362
Z	14201
V	8899
P	8110
J	2808
!	2166
-	1797
?	1239
Y	765
;	763
:	758
=	530
'	346
0	257
X	133
1	87
5	53
8	52
2	47
3	35
7	30
4	25
9	13
